pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee
0X286d85a0a60d1e3984d16641b621a782685d24dd,NA,NA,NA,000c8,0x980c06114dc400791fed1069164cf8b908728ee9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xf8ead6312796544ef793b69a0c36aceba2930895,NA,NA,NA,000c8,0x3f066b9c995256a1a716e3ded4d9b9754d29b2e0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xbc74f4994f642a204ba49fe609368dd1da478e4c,NA,NA,NA,0003c,0x0bde5321370795eb5611af4e04a2cefb03999c84,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X438677894b37ac0e2d6f9569a0fa4f5a4473e667,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfd72d141303829541fe5c73c218c94644861706e,3000
0X0843abbe675017bd48c3ecef8310df3004035bc3,NA,NA,NA,0003c,0xb07f0a77a7560937126c203ff8083e0058f3a51c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0Xbec68903105fabe9b849fb1f32ec832dfe9a5b08,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfc7a317872966e4a805a06c68408abd57b125551,10000
0X8b537b8705e014b52571f00506cde3dc15f75931,NA,NA,NA,000c8,0x673d54ce3744315d9374136067104019e3d67d0d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X7d5ea834bed1573bb74818d5742574e1e5bef51e,NA,NA,NA,000c8,0xac048680ec05e275458731640f407ba559a4021f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xc567d7d7113f11034de62d623e1812a51f5ead06,NA,NA,NA,000c8,0x88a9bb7eff3f120b1d9646ea5ce0994b2d44ab2f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X948f585911b47405912ebf2f572934655459e792,NA,NA,NA,000c8,0x2ec75aebbd3bd7f35bf9626c84f57650c5726ecf,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X9c1bba51bc3719d3a3fdf50da0235d1a53f77630,NA,NA,NA,000c8,0x7d5ea834bed1573bb74818d5742574e1e5bef51e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xd98d5b49bff55dd5e9ebf9d129d64f7d16886a58,NA,NA,NA,000c8,0x7006e32f56907cd7c19f7ba16ac8b43f79332f60,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X5db90b96dc38bbc141de75606b2a842c3b752d2d,NA,NA,NA,000c8,0x138337c7c143d5696f5e902d707f0c87744fa1d2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X4c56e745624204941065ab7c96fbb382336cb5a6,NA,NA,NA,000c8,0x26940d0149c2c87ffcc2aba442fef1881463850e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X37c6ba5456308ceb3c5ab8da3cc4ece4d3d1fbd6,NA,NA,NA,000c8,0x37387ac929deec46c3163edd0e85bacff42ad770,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xcddbc7e80afc519895d9b014cb7efde3528783ce,NA,NA,NA,000c8,0xb00d58c89bf42ce4b050ad6c69a791eb66032c78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X711cc2241165cd345405e6e8d9f5a0bb3342b3bb,NA,NA,NA,000c8,0x58a3cf90b754f9bd2cbe76f4c7b4f58ed2a68286,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
