pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee,L_percent_change
0X633f72c19d30064de2e6e74501ae3b16e4ca1964,a_WETH,0,0,1,0x9D0B0008DeC5Ad1300A8Ae14b27946f8bdFa5CCB,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,100,NA
0Xe51e1b71bbdd0b3bb94d39b1c9a420420211520f,PSYCHO_WETH,31624312412629951771593508,-307669,60,0x9ACBD8315d81253f1bA7c0D24cdBd4e01BE44A9B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X1bf09b112b68562cd5f3b72b91a551d01b967ac2,RIPTANIC_WETH,0,-175654,60,0x6121Ef6926dbA4F38d491F3544C2d0246cc386F4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X695d4cccb9ccf5e734ef9c41cea65522948471b3,UKY_WETH,1195660263297255517,-841,200,0x6493354EB3f3e3e39ADe2b93BF694f5fa5613Ec6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0X4633afa7c69379ba09912a42b7e59388af596081,SABAI_WETH,15859537354548229794013,-116441,60,0xb5d730D442e1D5B119Fb4E5c843c48a64202ef92,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X1063a4259930513e5cdfc69843b1f9a87ea3e3aa,UKY_WETH,0,0,200,0xb513373666a36F408542e45fB74492b2022E6d29,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0Xbfa6c8a6bcabb10574068037142ae7e8a7fa6228,UKY_WETH,1550613822938424112,2100,200,0x6f448d8687Dd8004fD73da5A938FfF57339BA8bE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0X49c5adffa7c31cf1e78383ac803b72b4ef87d9e7,XPEPE_WETH,0,-160029,10,0x30dD9F31a114953254880A8D8e05e215079faE65,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,500,NA
0Xc5c3bf0cf615c0eff6a074ac6806fdebe30967c6,STONKS_WETH,0,-314260,200,0x1eB2E705653FC9c076bf0428851c54c38e40462f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0X5325d7a1bf3e8da014180a945c0113d8b254ec50,XSHIB_WETH,0,-143743,60,0xB328Bb1a4C441c8dA2E8d136902B12B6Fd873425,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X98ccf53221430a6f47acc47e57fccd37bb792be0,WETH_MEME,0,154992,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE1100136FDBB98da916aeede2e3bF7a9e84E100E,3000,NA
0X1fffc8b2519f86e0dae7216867fd8f1ace172f61,SAITAMA_WETH,0,-182906,60,0x96F394F2E847702D8eF2904869d26C26f16F76d6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X57cc86f9e9630c1fec7f688e699fa9de64bdb42c,WETH_XBTC,0,123374,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd9591E4EECf30C63253849483F916E0A1d672DC5,3000,NA
0X9dc852b7d7138519ae3172954b7ac4fc2816c8fd,BT2017_WETH,0,-195865,60,0x0f75122f941d7041e4e2282d6196BAFDa430B3B0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0Xaa4c9d6e5e349f319abb625aa8dca5f52abea757,PYUSD_USDC,214790251112017,0,10,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,500,NA
0X13394005c1012e708fce1eb974f1130fdc73a5ce,PYUSD_USDC,9580890828918,-3,1,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100,NA
0X4532ac4f53871697cbfae2d86517823c1e68b016,WETH_SP500,0,189838,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd73f0826f4115E4572dbA46b3311EE13029F5D22,3000,NA
0Xade19e0bebc9e4692a303ab2e9f6a9722594a6af,BITCORN_WETH,0,-180677,60,0x2C72eEcd4A713C222Be143Bb071fCD1A338e3e67,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X9e70e1662bf3658a2959d8e278e599eada1f1cbc,BabySHIA_WETH,0,-145879,60,0xaf3c36A960C43E9Ea201D206Adc2190Fd24A6FCf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0Xef627919b0f8fb5e68677e91e7ca797c6e0d8d98,SINU_WETH,0,-196597,60,0x31404960edca60b17FC2619a3782210ed4A5BAC9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X46afa7ce6870a73ef3acb401bdfca92a8228d977,XSHIB_WETH,0,-135028,60,0xbC9683EE9525c4525e7e0dCFfe8eeD1447fd4287,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X9d3007eb5ca76b6533f646cfa9158deb2c8ed9e6,WETH_XPEPE,0,158698,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc068D84E2e6806304A80d6d4A9Ea19b8E69493C0,3000,NA
0X9966b296d843d72a169ed819c40cc19a2bc33565,WETH_BEPE,0,185801,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE62aDCBae40bAe7F613Cb6D9630E8A60c6ca15C4,3000,NA
0X37ae74504abab5f7ecaf61a5558451840dcd009a,BabyPEPE_WETH,0,0,60,0xa79198bEdFe90285B819D0020c09430dB74E1DF5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X73bc2a2d767b431c189d3e90b25ffa36a7cfaa23,XX_WETH,0,-146673,60,0x8ea24723c0f3E7b7d1F31f24cB9EeB3E01f8dc8A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X506ef69a32a08527cda629944c50e7f9563df493,HALAL_WETH,0,0,60,0x47645Ab8370b77bC950BCb914FEC0424C97a0F6E,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0Xfc46b56b5922955859115337a06e5d3b086a2a05,WETH_HALAL,0,163816,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf17E0fC7D58088C0dc2Eb548C9401271dACb3E6f,3000,NA
0X2ee5bd61bb5bebf94b653eaf28daf564dad4560e,BABYWOJAK_WETH,0,-159191,60,0x070CfAe02aE9C2FfCb0Cd5EDC5f06478d5077cB3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X15c6941fcf8f368c15cbebfec3b04ad2fcdfbcc3,DvF_WETH,0,-157647,60,0x2a20a258eb8732c41799A1CF65d9E353D62C661F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0Xfb307df07f6a74a151328214857cb6e451fc790f,BTC三TH_WETH,0,-176540,60,0x04C54cC7d44c93f5Be2B1f549611bA60a8252251,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X6f4c5b6db53d090c368ac49eecc276632ff7255d,WETH_BTC,0,132431,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcE65B59A3dEa8BED78837A72983bdA835d9a0229,3000,NA
0X02f604a04e86f7a2a403b3240e19d9b32c56ef08,三TH_WETH,0,-163941,60,0xa9F8F91e2145a22cD3f9e18A6662a7174dEFBBe2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X3c490d4e4521510e6b76fee89eb362fc6c5f053c,Xpro_WETH,0,-137526,60,0x59715ba2f05d6e9ba5ecB10a1212E7258B0c3e40,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X41e10a3b9714c0e0b1dcc524e277bd2fd42dd274,WETH_SHIC,0,139942,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcc64fc3ac4aF7e5D8c3162C0E75247A0BbeE6077,3000,NA
0X1f9fa799b0fd2f8ef5f14881e0f4c1dd38b87dc6,XXX_WETH,0,-143834,60,0x16FbD31886479c6BCcD0870Efa77846DAa8Fa36c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0Xb17f02208abff9255de80c657bf3d00910374857,WETH_SHIC,0,142321,10,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcc64fc3ac4aF7e5D8c3162C0E75247A0BbeE6077,500,NA
0Xdbd4a16e4cde700720cf5c599056e1d192d880f8,WETH_DWOJAK,0,156155,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe587469f644571e1812479fb6ACdF07cF99F7b7A,3000,NA
0Xbadae641d72b84fcffe36f0172b40bb5221c7a3c,WETH_DORKD,0,166848,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE453b4ab221B42dcEe81030656c5b987e9798888,3000,NA
0Xd524b87296f3ee6d7e0207ee457cbc3d9a775479,WOW_WETH,0,-162139,60,0x7fbdACc099bba77d90Ea9F87E595e18897dac4C5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X714e22256eac1d6fcf020ed3f435874591dd6e24,Treat_WETH,0,-136198,60,0xbCEe578E9B5a0f4d19e8d35E628fAAE293BbcE80,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0Xbeb395a8b40b9756ca41a9c79356f3d71f12d5a3,WETH_FINN,0,158383,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE65A0d75BcE722507588DD6CA256A10FC935c26F,3000,NA
0X121abd68b06d73fec90c89dfe55b9694ac8a3e80,WETH_BitPEPE,0,0,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEdf7fad88AEaA63b35dDa8dDA965eF1C28319A32,3000,NA
0Xecf2e6a036f226b39e77ab1d2ecec3cd38ddb960,WETH_FINE2.0,0,149291,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd6637F75E1Dd724c38D8a95299AAc34a9800df61,3000,NA
0Xb97949cb28fbfce32b63e4b39bb8944c1ba79583,ALIEN_WETH,0,-156081,60,0x31CF39Ed2205B7fC310f00D72102cA0B4A9AE16C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X348daf0546c763f15ca5f83ca1ea909c85a44eee,WETH_BitPEPE,0,0,10,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEdf7fad88AEaA63b35dDa8dDA965eF1C28319A32,500,NA
0Xb6f69846d301c1e6090a1d6cc28cb0b4c764c0ab,WETH_Mooon,0,126003,10,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfAC14acC884840130876e9e047A2c5c7F9be0018,500,NA
0Xe60c06621c7617085a56ab401984f232d19196bf,APEPE_WETH,0,-165372,60,0xbb212632162085E470148A1F731B1eF03e4b14AA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,NA
0X6845873089fdb0a2c75e0a2b3e329d2567cd7926,WETH_BabyX,0,0,10,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd5F047a72FC970CfcF79100F8576CC071fC87Bb4,500,NA
0X164063f1480ededbb7ae2df146f39290a05cde38,WETH_BabyX,0,137780,10,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF3c8F057350b64a673080aDb64aa608622DFf992,500,NA
0X9dcc58ca7194a1e903402e37dfd892c0adc19447,BitPEPE_WETH,0,-138118,10,0x078363E448f31C644E1e27c08E9aa2456Fa7BA8B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,500,NA
